school_code,seoutguse_gubun,hr_operation_krw,student_welfare_krw,edu_activity_support_krw,general_operation_krw,facility_expansion_krw,financial_activity_krw,fiscal_year
S090002278,예산세출,11072000,885905000,43700000,395529000,0,0,2025
S090002444,예산세출,9510000,621225000,52481000,273062000,0,0,2025
S090002445,예산세출,3930000,311805000,26153000,259164000,0,5040000,2025
S090002446,예산세출,17010000,707457000,55944000,377807000,0,3000000,2025
S090002447,예산세출,6550000,593854000,36363000,322253000,0,2000000,2025
S090002448,예산세출,3140000,571002000,52418000,334388000,0,19650000,2025
S090002449,예산세출,5350000,467857000,44707000,252650000,0,1160000,2025
S090002450,예산세출,7850000,654868000,41018000,314972000,0,0,2025
S090002451,예산세출,1950000,282709000,23210000,207749000,0,3000000,2025
S090002452,예산세출,6105000,695817000,53591000,383436000,0,960000,2025
S090002453,예산세출,5180000,609283000,50605000,280332000,0,820000,2025
S090002454,예산세출,9810000,349683000,27842000,280014000,0,39000,2025
S090002455,예산세출,6220000,651043000,84435000,292233000,0,2100000,2025
S090002456,예산세출,3050000,854311000,43690000,334058000,0,1000,2025
S090002457,예산세출,15500000,1249668000,124912000,302147000,1000000,0,2025
S090002458,예산세출,11900000,1049558000,109670000,388303000,0,0,2025
S090002459,예산세출,8450000,483743000,24817000,335542000,0,0,2025
S090002460,예산세출,5260000,339675000,44559000,243065000,0,170000,2025
S090002461,예산세출,12480000,696679000,66802000,319790000,0,0,2025
S090002462,예산세출,6500000,522600000,47034000,257786000,0,2500000,2025
S090002463,예산세출,7110000,1366035000,109190000,431925000,0,2131000,2025
S090002464,예산세출,8120000,648517000,41852000,313686000,0,500000,2025
S090002465,예산세출,6100000,511507000,94065000,333967000,0,2321000,2025
S090002466,예산세출,5905000,423698000,41472000,251044000,0,1577000,2025
S090002467,예산세출,3060000,474480000,38854000,253252000,0,1500000,2025
S090002468,예산세출,5900000,874898000,52283000,359126000,0,0,2025
